Question	Answer
Are you employed?	I'm a veterinary technician.
Are you a fan of Korean food?	I wouldn't say so
Are you bringing any pets into the flat?	I do not own any pets
Would you like to get some fresh air in your free time?	I am desperate to get out of the city.
Do you like to read self-help books?	I'm not a fan of them
Do you enjoy foreign cuisine?	I like many cuisines.
Is your new job going well?	I love what I do.
Are long books your thing?	I rarely read any other type of book.
Is the apartment big enough?	All of my stuff will fit.
Do you feel passionately about your position or your industry?	I wish I felt more.
Do you enjoy playing any sports?	Basketball is a lot of fun.
Do you like Rnb?	I like some of it
Do you play the guitar?	I did at a time
Do you like beer with your Pizza?	That is very gross.
Are you taking any animals?	I'll bring my dog.
Do you want to have a BBQ this evening?	I already have plans
Do you like any sports?	Tennis is fun to play.
Do you talk to any of our old friends?	Only to Shannon.
Will you be working tomorrow?	I managed to finish everything today.
Do you enjoy art?	Going to art museums is my favorite pastime.
Is your family still living in the neighborhood?	Just down the street.
Did you buy any sci-fi books recently?	I picked up two last weekend.
Do you like sports?	I play tennis every weekend.
Did you drive straight here?	I had to stop at my mom's house.
Are you enjoying your job?	It's gotten really interesting.
Have you got an allergy to nuts?	I'm not allergic to anything.
Do you like to BBQ?	I love to bbq
Are you interested in sporting events?	Only if my teams are playing.
Do you travel any?	Once a week.
Did you check your credit to see if you are able to apply for mortgage?	I'm paying in cash.
Are you still on a Paleo diet?	I have started on the Keto diet.
Do you like fantasy books?	I'm not familiar with any.
Do you like jazz music?	I think I should have been born in the Jazz Age.
Do you still like hiking?	I still try to hit the trails at least once a month.
Do you go bar hoping often?	I don't drink anymore.
Did you consult with your partner/parents?	I haven't spoken to my partner in ages.
How do you like the area?	The mountains are awesome.
Do you need a lot of space?	I could do with a small studio.
Want to get a pedicure?	My toes are a mess.
Is your job a manual labor?	I get a lot of exercise all day at work.
Have you met the other neighbors?	I have met a few of them
Was the travel tiring?	It was exciting
Has this work week gone quickly for you?	It's gone very slowly.
Have you stayed in touch with anyone from school?	I really haven't
Have you lived in New York before?	I've only been there for vacation.
Are you in the mood for ramen?	I could go for some Pho.
Do you want me to walk you to your car?	That would be really nice, thanks.
Do you like food that are primarily barbecued?	it is okay to have sometimes
Are you a big meat-eater?	I prefer leafy greens.
Is your job close to home?	It's an hour away.
Have you researched the areas you are interested in?	I've been looking a lot online.
Do you like travelling?	In first class.
Do you have any pets?	I have a cat.
Do you like to see live music?	if the band is good
Have you been bowling before?	Years ago, and haven't been back since.
Are your mum and dad still alive ?	I'm an orphan.
Are you new in town?	I've just got here.
how was your day?	Just a typical Friday.
Do you like being outdoors?	I prefer outdoors
Do you want to meet up this weekend?	If I have a free moment.
Have you had sushi before?	Sushi is raw, which is bad for my stomach.
Are you interested in trap music?	I don't know what that is
Have you heard Taylor Swift's new song?	I listened to it yesterday.
Is reading crime fiction something you like to do?	If it's not too creepy.
Do you enjoy playing any sports?	I like to read or watch TV.
Do you eat seafood?	I love catching my own fish and cooking it.
Do you enjoy living out of town?	I love living in the countryside.
Have you been to the art museum?	I love looking at pictures.
Would you prefer a locally owned restaurant?	I never really dine at restaurant chains.
Is it an office job?	It's an assistant position.
Do you like fantasy books?	Only when their plot is good.
Looking forward to this weekend?	I have been dreading it.
Are you new to this city?	I've been here all my life.
Was that biography that you read any good?	I thought it was forgettable.
Want to go dancing tomorrow night?	I'd rather see a movie.
Have you been looking for awhile?	I just started today.
Do you play golf on weekends?	I vowed I'd never play golf.
Do you watch a lot of romance movies?	I like horror movies.
Have you ever read horror novel books?	I have read a few.
Are you on a budget?	I would be at the minute
Do you own property already?	I would prefer to pay a mortgage more than rent.
Do you like a variety of food?	I like eating good stuff.
Do you like fantasy novels?	Disney is cool.
Do you want some time on your own to explore?	I really like poking around small shops off the beaten path.
Hey since the weather has gotten colder did you want to grab some potato soup?	that would be good
Have you been to a concert this month?	I went to one last night.
What are your plans for tonight?	My plans fell through.
Did you bring everything you need?	I didn't have enough space for everything
Do you like steak?	Only if it's cooked rare.
Does it have to be in the city itself?	It can be on the outskirts
Want to go to the cinema?	I'd prefer to see the sights.
Do you have a date?	I'm meeting my kids.
Is is close to the Subway station?	It's just down the street.
Want to go to the park?	I don't have time at the moment.
Will you have to share the flat with anyone?	I'm excited to live on my own.
Do you like to have a flexible schedule or are regular hours better for you?	I prefer a rigid routine
did you enjoy the sushi bar?	I want to eat there more often.
Did you enjoy reading non-fiction books in school?	I preferred fiction
Do you often listen to pop music?	I prefer jazz.
Do you like novels based in World War 2?	I love any war novels.
Do your remember our block fondly?	I enjoyed living there
Do you prefer being indoors?	When it's wet outside.
Do you have a degree for your current job?	I have a degree in the arts, so it's relative.
Want to grab a drink?	Let's do happy hour.
Do you have a library card?	I do.
Do you prefer happy endings?	I can only handle good endings.
Is it in a safe area?	The neighborhood doesn't see much crime.
Do you like buffets?	I always want all-you-can-eat.
Will you be at work tomorrow?	I never work on weekends.
Did you go to college near here?	I went to NU.
Do you want to grab some food?	If we go to a vegetarian place.
Are you a fan of classic literature?	I think I have read much of what would be considered \\classic lit\\, but now adays I chose more current reads.
Do you like being creative?	I like to draw.
Want to live in a more affordable area of town?	I would like something a little cheaper.
Does it feel strange to see me again?	It's weird.
Do you own a pet?	My dog is my best friend.
Do you want to look through the museum?	Can we go to the park instead?
Do you like your supervisor?	He's been pretty nice.
Want to work for another company?	I want to start my own business.
Would you be interested in buying a loft?	If I could afford it.
Do you sing?	I only sing if I want to make dogs bark.
Do you like going to gigs?	Only when someone I know is playing.
Wanna go for some Chinese food?	If we can share a couple of entrees.
Are your parents still living in your childhood house?	They moved last year
Do you have a limit of what you want to pay?	Three hundred dollars maximum,
Are you a fan of the Harry Potter series?	I wouldn't say that
Are you in any weekend leisure sports teams?	I'm in a city volleyball league.
Would you like to go to the movies tonight?	I'm open to it.
Are you going out tonight?	I am not
Have you gone by to see your old house?	I saw they tore it down.
Do you enjoy sports?	Only team sports.
Do you like arts and crafts?	It's my favorite pastime.
Do you still play piano?	I became a professional.
